Group,Subject,Rew,Block,Phase,Opt
-1,13,-1,0,-1,0.33
-1,13,-1,1,-1,1
-1,13,-1,2,-1,0.75
-1,13,-1,3,-1,0.67
-1,13,-1,4,-1,0.5
-1,13,-1,5,-1,0.75
-1,13,-1,6,-1,0.83
-1,13,-1,7,-1,1
-1,13,-1,8,-1,0.8
-1,13,-1,9,-1,1
-1,13,-1,10,-1,1
-1,13,-1,11,-1,1
-1,13,1,0,1,0.33
-1,13,1,1,1,0.75
-1,13,1,2,1,0.8
-1,13,1,3,1,1
-1,13,1,4,1,1
-1,13,1,5,1,1
-1,13,1,6,1,1
-1,13,1,7,1,1
-1,13,1,8,1,0.75
-1,13,1,9,1,1
-1,13,1,10,1,1
-1,13,1,11,1,1
-1,13,1,0,-1,0.71
-1,13,1,1,-1,0.67
-1,13,1,2,-1,0.5
-1,13,1,3,-1,0.5
-1,13,1,4,-1,0.75
-1,13,1,5,-1,0.83
-1,13,1,6,-1,1
-1,13,1,7,-1,1
-1,13,1,8,-1,1
-1,13,1,9,-1,1
-1,13,1,10,-1,1
-1,13,1,11,-1,1
-1,16,-1,0,1,0.75
-1,16,-1,1,1,0.8
-1,16,-1,2,1,0.33
-1,16,-1,3,1,0.63
-1,16,-1,4,1,0.75
-1,16,-1,5,1,0.67
-1,16,-1,6,1,0.25
-1,16,-1,7,1,0.33
-1,16,-1,8,1,0.4
-1,16,-1,9,1,0.5
-1,16,-1,10,1,0
-1,16,-1,11,1,0.25
-1,16,-1,0,-1,0.33
-1,16,-1,1,-1,0.57
-1,16,-1,2,-1,0.5
-1,16,-1,3,-1,0.75
-1,16,-1,4,-1,0.5
-1,16,-1,5,-1,0.6
-1,16,-1,6,-1,0.5
-1,16,-1,7,-1,0.71
-1,16,-1,8,-1,0.5
-1,16,-1,9,-1,0.57
-1,16,-1,10,-1,0.6
-1,16,-1,11,-1,0.5
-1,16,1,0,1,1
-1,16,1,1,1,0.6
-1,16,1,2,1,0.71
-1,16,1,3,1,0.5
-1,16,1,4,1,1
-1,16,1,5,1,1
-1,16,1,6,1,1
-1,16,1,7,1,1
-1,16,1,8,1,1
-1,16,1,9,1,1
-1,16,1,10,1,1
-1,16,1,11,1,1
-1,16,1,0,-1,1
-1,16,1,1,-1,1
-1,16,1,2,-1,1
-1,16,1,3,-1,1
-1,16,1,4,-1,1
-1,16,1,5,-1,1
-1,16,1,6,-1,1
-1,16,1,7,-1,1
-1,16,1,8,-1,1
-1,16,1,9,-1,1
-1,16,1,10,-1,1
-1,16,1,11,-1,1
-1,19,-1,0,1,0.75
-1,19,-1,1,1,0.71
